# data format,5,
#,30,30,900,35,35,5,5,
#  xx,   yy, zz,   uu,   vv, ww,
  740,  320,  0,  -11,  -15,  0,
  775,  320,  0,   15,   -6,  0,
  810,  320,  0,  -12,  -15,  0,
  845,  320,  0,    8,  -15,  0,
  880,  320,  0,  -11,  -14,  0,
  915,  320,  0,   15,   -8,  0,
  950,  320,  0,    7,   11,  0,
  985,  320,  0,  -11,  -14,  0,
 1020,  320,  0,   15,   15,  0,
,
    5,  355,  0,  -15,   10,  0,
   40,  355,  0,   15,   11,  0,
   75,  355,  0,  -13,   14,  0,
  110,  355,  0,   -9,   -6,  0,
  145,  355,  0,    8,  -12,  0,
  180,  355,  0,  -12,  -13,  0,
  215,  355,  0,   -5,   14,  0,
  250,  355,  0,   15,   15,  0,
  285,  355,  0,   14,   10,  0,
  320,  355,  0,    3,  -15,  0,
  355,  355,  0,   12,    9,  0,
  390,  355,  0,  -10,   10,  0,
  425,  355,  0,   15,  -15,  0,
  460,  355,  0,  -15,   14,  0,
  495,  355,  0,  -12,  -10,  0,
  530,  355,  0,   15,   15,  0,
  565,  355,  0,   14,    6,  0,
  600,  355,  0,  -10,   15,  0,
  635,  355,  0,   15,  -13,  0,
  670,  355,  0,  -14,   15,  0,
  705,  355,  0,   15,  -10,  0,
  740,  355,  0,   15,  -13,  0,
  775,  355,  0,  -14,  -15,  0,
  810,  355,  0,   -9,   15,  0,
  845,  355,  0,  -11,   15,  0,
  880,  355,  0,  -12,   -7,  0,
  915,  355,  0,   15,  -10,  0,
  950,  355,  0,  -15,  -15,  0,
  985,  355,  0,   -7,   12,  0,
 1020,  355,  0,   15,   11,  0,
,
    5,  390,  0,  -15,  -14,  0,
   40,  390,  0,  -14,  -15,  0,
   75,  390,  0,   14,    6,  0,
  110,  390,  0,  -15,  -15,  0,
  145,  390,  0,  -14,  -14,  0,
  180,  390,  0,   -6,  -11,  0,
  215,  390,  0,   -5,   11,  0,
  250,  390,  0,   15,  -14,  0,
  285,  390,  0,   14,   13,  0,
  320,  390,  0,  -13,  -14,  0,
  355,  390,  0,   12,   14,  0,
  390,  390,  0,  -15,   10,  0,
  425,  390,  0,   14,   12,  0,
  460,  390,  0,   -8,  -15,  0,
  495,  390,  0,   14,   15,  0,
  530,  390,  0,   15,  -15,  0,
  565,  390,  0,    6,  -15,  0,
  600,  390,  0,  -13,    6,  0,
  635,  390,  0,   12,   14,  0,
  670,  390,  0,   12,   13,  0,
  705,  390,  0,    8,   15,  0,
  740,  390,  0,  -14,   -6,  0,
  775,  390,  0,   14,  -15,  0,
  810,  390,  0,  -14,   14,  0,
  845,  390,  0,  -15,    4,  0,
  880,  390,  0,  -14,  -15,  0,
  915,  390,  0,  -13,  -15,  0,
  950,  390,  0,  -15,  -15,  0,
  985,  390,  0,  -15,    7,  0,
 1020,  390,  0,   15,  -15,  0,
,
    5,  425,  0,   13,    9,  0,
   40,  425,  0,   -8,   10,  0,
   75,  425,  0,  -15,    4,  0,
  110,  425,  0,  -15,   -9,  0,
  145,  425,  0,   -1,   15,  0,
  180,  425,  0,    6,   15,  0,
  215,  425,  0,   -8,   13,  0,
  250,  425,  0,   13,   12,  0,
  285,  425,  0,   15,  -13,  0,
  320,  425,  0,   11,   -8,  0,
  355,  425,  0,  -14,   15,  0,
  390,  425,  0,   14,   14,  0,
  425,  425,  0,   15,  -14,  0,
  460,  425,  0,   -6,  -14,  0,
  495,  425,  0,   15,   15,  0,
  530,  425,  0,   11,    5,  0,
  565,  425,  0,  -15,  -15,  0,
  600,  425,  0,   15,    9,  0,
  635,  425,  0,   11,   14,  0,
  670,  425,  0,  -15,   11,  0,
  705,  425,  0,    8,  -10,  0,
  740,  425,  0,   -8,   15,  0,
  775,  425,  0,   14,   -4,  0,
  810,  425,  0,  -11,   13,  0,
  845,  425,  0,  -11,   11,  0,
  880,  425,  0,  -15,   15,  0,
  915,  425,  0,    6,   11,  0,
  950,  425,  0,   12,   15,  0,
  985,  425,  0,    7,  -14,  0,
 1020,  425,  0,   15,   14,  0,
,
    5,  460,  0,  -15,  -11,  0,
   40,  460,  0,  -15,  -11,  0,
   75,  460,  0,   -8,    8,  0,
  110,  460,  0,  -15,   -6,  0,
  145,  460,  0,   13,  -15,  0,
  180,  460,  0,  -15,   14,  0,
  215,  460,  0,   -7,  -15,  0,
  250,  460,  0,   12,   12,  0,
  285,  460,  0,   15,    1,  0,
  320,  460,  0,  -14,    4,  0,
  355,  460,  0,  -12,    4,  0,
  390,  460,  0,   15,  -15,  0,
  425,  460,  0,   -4,   15,  0,
  460,  460,  0,  -13,   10,  0,
  495,  460,  0,   -6,   15,  0,
  530,  460,  0,  -15,  -11,  0,
  565,  460,  0,   15,  -15,  0,
  600,  460,  0,   15,   14,  0,
  635,  460,  0,   15,  -11,  0,
  670,  460,  0,   11,   14,  0,
  705,  460,  0,   15,  -10,  0,
  740,  460,  0,  -15,  -15,  0,
  775,  460,  0,   15,  -11,  0,
  810,  460,  0,  -13,    4,  0,
  845,  460,  0,  -12,  -13,  0,
  880,  460,  0,   15,   15,  0,
  915,  460,  0,   15,    5,  0,
  950,  460,  0,   -6,  -14,  0,
  985,  460,  0,  -11,   15,  0,
 1020,  460,  0,   15,    8,  0,
,
    5,  495,  0,  -15,  -14,  0,
   40,  495,  0,  -12,   10,  0,
   75,  495,  0,  -12,   15,  0,
  110,  495,  0,  -15,  -15,  0,
  145,  495,  0,   -6,  -14,  0,
  180,  495,  0,   14,   15,  0,
  215,  495,  0,   11,   -9,  0,
  250,  495,  0,   11,    7,  0,
  285,  495,  0,  -11,   -7,  0,
  320,  495,  0,   15,    8,  0,
  355,  495,  0,   15,  -15,  0,
  390,  495,  0,    9,  -15,  0,
  425,  495,  0,  -14,   10,  0,
  460,  495,  0,  -15,   15,  0,
  495,  495,  0,   15,    5,  0,
  530,  495,  0,  -15,   -6,  0,
  565,  495,  0,   13,   15,  0,
  600,  495,  0,  -12,  -11,  0,
  635,  495,  0,   15,  -13,  0,
  670,  495,  0,  -15,   12,  0,
  705,  495,  0,  -15,   -7,  0,
  740,  495,  0,  -14,  -13,  0,
  775,  495,  0,    4,   12,  0,
  810,  495,  0,   -7,   15,  0,
  845,  495,  0,   14,  -10,  0,
  880,  495,  0,   15,    7,  0,
  915,  495,  0,   -6,  -15,  0,
  950,  495,  0,  -15,   10,  0,
  985,  495,  0,   10,   10,  0,
 1020,  495,  0,   15,  -13,  0,
,
    5,  530,  0,  -13,   10,  0,
   40,  530,  0,    6,   12,  0,
   75,  530,  0,   -4,  -11,  0,
  110,  530,  0,   15,   13,  0,
  145,  530,  0,   12,  -15,  0,
  180,  530,  0,  -15,   -6,  0,
  215,  530,  0,   11,   15,  0,
  250,  530,  0,   -6,   15,  0,
  285,  530,  0,   -7,   -5,  0,
  320,  530,  0,   13,   13,  0,
  355,  530,  0,    6,   15,  0,
  390,  530,  0,   13,   13,  0,
  425,  530,  0,   15,   15,  0,
  460,  530,  0,   11,   14,  0,
  495,  530,  0,  -14,   15,  0,
  530,  530,  0,  -14,    4,  0,
  565,  530,  0,   15,   -7,  0,
  600,  530,  0,  -15,  -14,  0,
  635,  530,  0,  -15,    1,  0,
  670,  530,  0,  -12,    2,  0,
  705,  530,  0,  -13,   12,  0,
  740,  530,  0,    5,   14,  0,
  775,  530,  0,   -2,   -8,  0,
  810,  530,  0,  -14,    8,  0,
  845,  530,  0,  -15,   -9,  0,
  880,  530,  0,   12,   15,  0,
  915,  530,  0,   11,   11,  0,
  950,  530,  0,   15,   -9,  0,
  985,  530,  0,    4,    9,  0,
 1020,  530,  0,   15,  -15,  0,
,
    5,  565,  0,   11,  -15,  0,
   40,  565,  0,  -12,   11,  0,
   75,  565,  0,    2,   10,  0,
  110,  565,  0,   13,    4,  0,
  145,  565,  0,    9,    2,  0,
  180,  565,  0,  -14,   -7,  0,
  215,  565,  0,   14,    9,  0,
  250,  565,  0,  -13,   -9,  0,
  285,  565,  0,    3,    3,  0,
  320,  565,  0,   15,  -14,  0,
  355,  565,  0,  -13,  -15,  0,
  390,  565,  0,  -14,   -2,  0,
  425,  565,  0,  -12,    5,  0,
  460,  565,  0,   -1,   -1,  0,
  495,  565,  0,   -7,  -10,  0,
  530,  565,  0,  -12,   -5,  0,
  565,  565,  0,   15,  -10,  0,
  600,  565,  0,  -15,    7,  0,
  635,  565,  0,   14,   11,  0,
  670,  565,  0,   15,   15,  0,
  705,  565,  0,   15,   15,  0,
  740,  565,  0,    9,   15,  0,
  775,  565,  0,  -13,  -14,  0,
  810,  565,  0,    5,   15,  0,
  845,  565,  0,   -8,   14,  0,
  880,  565,  0,  -15,  -14,  0,
  915,  565,  0,   15,   -7,  0,
  950,  565,  0,   -6,  -13,  0,
  985,  565,  0,   15,    3,  0,
 1020,  565,  0,  -14,  -15,  0,
,
    5,  600,  0,  -11,  -12,  0,
   40,  600,  0,   15,   -5,  0,
   75,  600,  0,    8,   15,  0,
  110,  600,  0,  -12,  -15,  0,
  145,  600,  0,   15,  -14,  0,
  180,  600,  0,  -14,   15,  0,
  215,  600,  0,   14,  -15,  0,
  250,  600,  0,   10,   10,  0,
  285,  600,  0,   15,   12,  0,
  320,  600,  0,   -6,  -15,  0,
  355,  600,  0,  -10,   -9,  0,
  390,  600,  0,   -4,   13,  0,
  425,  600,  0,   15,   13,  0,
  460,  600,  0,  -13,   15,  0,
  495,  600,  0,  -15,   15,  0,
  530,  600,  0,  -15,   12,  0,
  565,  600,  0,   15,  -13,  0,
  600,  600,  0,  -12,  -15,  0,
  635,  600,  0,  -14,  -11,  0,
  670,  600,  0,   15,    9,  0,
  705,  600,  0,    8,    8,  0,
  740,  600,  0,    8,  -14,  0,
  775,  600,  0,   -9,   14,  0,
  810,  600,  0,   15,  -11,  0,
  845,  600,  0,   13,   12,  0,
  880,  600,  0,  -14,  -15,  0,
  915,  600,  0,    6,   15,  0,
  950,  600,  0,   -9,   -9,  0,
  985,  600,  0,   13,  -10,  0,
 1020,  600,  0,   15,   15,  0,
,
    5,  635,  0,  -13,  -15,  0,
   40,  635,  0,    9,   15,  0,
   75,  635,  0,   -5,  -15,  0,
  110,  635,  0,  -13,   -3,  0,
  145,  635,  0,   15,  -15,  0,
  180,  635,  0,  -15,   15,  0,
  215,  635,  0,   11,   13,  0,
  250,  635,  0,  -15,  -15,  0,
  285,  635,  0,   14,   15,  0,
  320,  635,  0,  -15,   14,  0,
  355,  635,  0,  -12,  -15,  0,
  390,  635,  0,  -12,   13,  0,
  425,  635,  0,   -7,  -15,  0,
  460,  635,  0,   -9,   13,  0,
  495,  635,  0,  -12,  -12,  0,
  530,  635,  0,  -15,  -15,  0,
  565,  635,  0,    9,  -14,  0,
  600,  635,  0,   15,  -15,  0,
  635,  635,  0,    7,  -15,  0,
  670,  635,  0,  -15,   15,  0,
  705,  635,  0,   14,  -15,  0,
  740,  635,  0,   -4,  -15,  0,
  775,  635,  0,  -15,   12,  0,
  810,  635,  0,   14,   -6,  0,
  845,  635,  0,  -15,   15,  0,
  880,  635,  0,   15,  -14,  0,
  915,  635,  0,  -15,   -6,  0,
  950,  635,  0,    9,  -10,  0,
  985,  635,  0,   15,  -15,  0,
 1020,  635,  0,   15,   -1,  0,
,
    5,  670,  0,  -15,   11,  0,
   40,  670,  0,  -12,  -11,  0,
   75,  670,  0,  -15,   10,  0,
  110,  670,  0,   15,   -9,  0,
  145,  670,  0,  -12,   15,  0,
  180,  670,  0,    5,   11,  0,
  215,  670,  0,  -12,   -3,  0,
  250,  670,  0,  -15,   10,  0,
  285,  670,  0,  -15,  -10,  0,
  320,  670,  0,   -8,  -15,  0,
  355,  670,  0,  -13,    3,  0,
  390,  670,  0,  -15,   15,  0,
  425,  670,  0,   12,  -12,  0,
  460,  670,  0,   -9,    9,  0,
  495,  670,  0,   14,   12,  0,
  530,  670,  0,   12,   15,  0,
  565,  670,  0,   14,   -8,  0,
  600,  670,  0,   -8,  -14,  0,
  635,  670,  0,   -7,  -14,  0,
  670,  670,  0,    0,    0,  0,
  705,  670,  0,  -15,   -9,  0,
  740,  670,  0,  -13,   15,  0,
  775,  670,  0,  -15,   14,  0,
  810,  670,  0,   14,   13,  0,
  845,  670,  0,   15,   14,  0,
  880,  670,  0,   15,   14,  0,
  915,  670,  0,    6,   15,  0,
  950,  670,  0,   14,   13,  0,
  985,  670,  0,   11,  -15,  0,
 1020,  670,  0,   15,   13,  0,
,
    5,  705,  0,    2,   10,  0,
   40,  705,  0,  -12,  -12,  0,
   75,  705,  0,   -8,  -15,  0,
  110,  705,  0,   15,  -11,  0,
  145,  705,  0,  -13,  -10,  0,
  180,  705,  0,  -15,   15,  0,
  215,  705,  0,  -15,  -15,  0,
  250,  705,  0,  -15,   14,  0,
  285,  705,  0,  -14,   12,  0,
  320,  705,  0,  -13,  -10,  0,
  355,  705,  0,  -15,   -7,  0,
